지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,486,120975,광주시,오포읍,0.6,"3,823.00",0.7,2019-12-25
차도포장,485,691,광주시,송정동,5,7,0.7,2019-12-25
차도포장,484,1080,광주시,경안동,8,5.6,0.7,2019-12-25
차도포장,483,120496,광주시,오포읍,2,1.4,1.4,2019-12-25
차도포장,482,100013,광주시,오포읍,2,2.1,0.7,2019-12-25
차도포장,481,1819,광주시,경안동,19,13.3,0.7,2019-12-25
차도포장,480,1417,광주시,경안동,5,3.5,0.7,2019-12-25
차도포장,479,100014,광주시,오포읍,6,4.2,0.7,2019-12-25
차도포장,478,751,광주시,송정동,45,31.5,0.7,2019-12-25
차도포장,477,120285,광주시,오포읍,33.89,66.67,2.14,2019-12-25
차도포장,476,414,광주시,경안동,2,2.8,0.7,2019-12-25
차도포장,474,200309,광주시,곤지암읍,209.5,"2,878.83",0.7,2019-12-25
차도포장,473,121622,광주시,초월읍,124.5,1,0.7,2019-12-25
차도포장,472,120975,광주시,오포읍,151.48,152.42,0.7,2019-12-25
차도포장,471,120285,광주시,오포읍,24.8,49.25,2.1,2019-12-25
차도포장,470,120025,광주시,오포읍,30.4,60.68,2.18,2019-12-25
차도포장,469,1379,광주시,경안동,33,69,0.7,2019-12-25
차도포장,468,1804,광주시,송정동,2,1.5,0.7,2019-12-25
차도포장,467,420,광주시,경안동,80,56,0.7,2019-12-25
차도포장,466,748,광주시,송정동,5.5,10.72,0.7,2019-12-25
차도포장,465,160350,광주시,광남동,181,"2,715.00",15,2019-12-25
차도포장,464,160394,광주시,광남동,33.86,716.45,21.85,2019-12-25
차도포장,463,26,광주시,경안동,3,2.1,0.7,2019-12-25
차도포장,462,160287,광주시,광남동,807.62,"13,074.05",20.82,2019-12-25
차도포장,461,1174,광주시,경안동,8,11.2,0.7,2019-12-25
차도포장,460,160405,광주시,광남동,32.45,850.43,26.34,2019-12-25
차도포장,459,120645,광주시,오포읍,43.3,2,0.7,2019-12-25
차도포장,458,100235,광주시,오포읍,673,487,0.7,2019-12-25
차도포장,457,52,광주시,경안동,5,3.2,0.7,2019-12-25
차도포장,456,120341,광주시,오포읍,150,105,1.4,2019-12-25
차도포장,455,37,광주시,경안동,9,7.2,0.7,2019-12-25
차도포장,454,824,광주시,경안동,72,50.4,0.7,2019-12-25
차도포장,453,36,광주시,경안동,8,11.2,0.7,2019-12-25
차도포장,452,200238,광주시,곤지암읍,12.6,18,2.3,2019-12-25
차도포장,451,123297,광주시,초월읍,74.8,10.5,0.7,2019-12-25
차도포장,450,1372,광주시,경안동,35.7,24.99,0.7,2019-12-25
차도포장,449,205,광주시,경안동,9,6.3,0.7,2019-12-25
차도포장,448,120975,광주시,오포읍,9,6.3,0.7,2019-12-25
차도포장,447,121398,광주시,오포읍,285,391.62,2.11,2019-12-25
차도포장,446,1646,광주시,경안동,6.9,136.5,0.7,2019-12-25
차도포장,445,1527,광주시,경안동,10,14,0.7,2019-12-25
차도포장,444,330,광주시,경안동,5,4,0.7,2019-12-25
차도포장,443,840,광주시,송정동,21,14.7,0.7,2019-12-25
차도포장,442,123258,광주시,초월읍,147.4,0.3,0.7,2019-12-25
차도포장,441,160771,광주시,광남동,194.84,"1,288.06",7.27,2019-12-25
차도포장,440,138,광주시,송정동,4,5.6,0.7,2019-12-25
차도포장,439,321,광주시,경안동,13.8,2.8,0.7,2019-12-25
차도포장,438,1566,광주시,경안동,9.2,17.57,0.7,2019-12-25
차도포장,437,1668,광주시,경안동,5.7,8.96,0.7,2019-12-25
